Idy	Fecha de Respuesta	Nombre Tienda	Nota de Recomendación	Razón LTR	Nivel 1	Nivel 2	Nivel 3	archivo
3188	9/3/2019	Cordoba	0	Por los excesivos precios	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3189	9/3/2019	Dot	2	Precios no a la vista y los que estan.no coinciden con los estantes de mercaderia correspondiente	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores marzo mayo
3190	9/3/2019	Florida 2 (Florida N°202)	5	Las prendas tenian mal el codigo y me cobraron mucho mas.... reclame y se soluciono...	Precio y ofertas	Precios	Producto mal etiquetado	detractores marzo mayo
3191	9/3/2019	Mendoza	3	"Basado en la última compra, me pareció un tanto engañosa la aferta de ""3 cuotas fijas"", en tanto está incluído el recargo en las mismas, conviene no tener la tarjeta y comprar en otro lado donde si financien"	Precio y ofertas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores marzo mayo
3192	9/3/2019	Rosario	1	Está muy desordenado y poco accesible los productos	Tienda	Infraestructura 	Falta de orden y limpieza en tienda	detractores marzo mayo
3193	9/3/2019	San Juan	5	Deberían incluir talles mayores	Productos	Disponibilidad	Falta de talles	detractores marzo mayo
3194	9/3/2019	Florida 1 (Florida N°343)	6	La tienda es divina, variedad y buen precio como cualquier otra, limpieza y orden. Falta atención al cliente, no tenes ni 1 vendedor que te ayude o saque tus dudas. Si te gusta comprar sólo está genial pero me pasó que estaba con mi hija, apurada porque como todo niño se aburre y empieza a molestar, y necesitaba ayuda, no encontré a nadie! Terminé sin comprar nada de bronca. Una pena	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3195	9/3/2019	Cordoba	4	poco personal en las cajas colas innecesarias	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3196	10/3/2019	Cordoba	4	No hay marcas ni precios	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3197	10/3/2019	Unicenter	4	Pocos vendedores los feriados y fines de semana	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3198	10/3/2019	Dot	4	Porque no me atendieron bien el sector, no tenia n muchas ganas de ayudarme a encontrar lo que buscaba	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3199	10/3/2019	Unicenter	4	Cantidad de gente y poca cantidad de cajas y disponibilidad de atención al cliente	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3200	10/3/2019	Cordoba	3	Muy caro todo	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3201	10/3/2019	Florida 2 (Florida N°202)	0	Decía tres cuotas sin interés con todas las tarjetas y me quisieron cobrar un porcentaje en 3 cuotas	Precio y ofertas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores marzo mayo
3202	10/3/2019	Cordoba	6	Los términos de promociones no están muy claros ni definidos hay que estar consultando al personal	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3203	10/3/2019	Rosario	1	Porque los productos son carísimo. .. todos los año compro en la tienda y en esta oportunidad los precios aumentaron tanto que es imposible  comprar... no tenes cuotas sin interés y los recargos del producto más los recargos de las tarjetas para comprar en cuota es un robo para el cliente. En FALABELLA paso a ser solo para clase alta.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3204	10/3/2019	Florida 1 (Florida N°343)	5	Fui. Con la idea de comprar un juguete jeep q tenian el 5/3 a$ 499 y lo habian vuelto a su precio original.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3205	10/3/2019	Mendoza	3	Demora en las islas de caja	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3206	10/3/2019	Unicenter	4	Faltaba variedad de productos. Medidas y colores	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3207	10/3/2019	Avellaneda	3	Porque no tienen surtido de productos de bazar/cocina, hay ciertos sectores con poca iluminación, desordenados...	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3208	10/3/2019	Florida 2 (Florida N°202)	6	Y por qué si se trata de compras hay cosas que están expedidos en precios	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3209	10/3/2019	Unicenter	6	Por que los cajeros tardan demasiado tiempo en cobrar y generalmente no tienen cambio.	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3210	10/3/2019	Cordoba	1	un desastre	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores marzo mayo
3211	10/3/2019	Mendoza	5	se demora mucho en las cajas , no está identificado donde se puede pagar	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3212	10/3/2019	Mendoza	0	Por la falta de interés del personal, principalmente la gente de atención al público . Un desastre, me retire de la tienda sin poder resolver un inconveniente con un cambio .	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3213	10/3/2019	Avellaneda	5	Me parece muy elevado el precio de la mayoria de las prendas, antes habia opcion de financiar en cuotas con tarjeta cosa que actualmente no se puede	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3214	10/3/2019	Rosario	0	Por mala experiencia	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores marzo mayo
3215	10/3/2019	Cordoba	2	La atención no fue buena no supieron explicar mis dudas y en la línea de caja mas alla de la mala cara con la que atienden demoraron una eternidad para poder pagar mi compra	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores marzo mayo
3216	10/3/2019	Rosario	5	Falta variedad y precio	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3217	11/3/2019	Florida 2 (Florida N°202)	4	Los vendedores en la zona de cosméticos tienen una muy mala predisposición, en los productos no aparecen los precios y ellos tampoco los conocen, se lo pregunté a varias personas y todas me enviaron que consulte en la caja donde había una cola muy larga de personas abonando. Las vendedoras estaban ocupadas maquillándose en lugar de atender y responder las consultas.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3218	11/3/2019	Unicenter	2	"Necesitaba un jean talle 16 y solo habia un amarca Federation.... CARISIMO, amen de la falta de opciones, minimamente de marcas tradicionales.
Lo compre por tener un atarjeta de obsequio de mi empleador. De no haber sido por eso, no lo hubiese llevado.
En el sector de adulto ese mismo dia habia jeans similares que costaban menos de la mitad, no el el SALE sino como ventas regulares. Recuerdo 2 x $ 1990."	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3219	11/3/2019	Unicenter	6	Los precios altos a excepción de ofertas.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3220	11/3/2019	Dot	0	la atención es pésima, cada vez que tengo que hacer un cambio o usar una gifcard me hacen pasear  por todas las cajas en todos los niveles, no tiene razón de ser que si voy a cambiar una prenda no pueda ir a la caja mas cercana, sobre todo si uno va en familia.	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3221	11/3/2019	Mendoza	4	Antes tenian exelente relacion calidad -precio. Hoy tienen baja calidad a muy alto precio	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3222	11/3/2019	Unicenter	0	Tuve q dejar un par de zapatillas por q no tengo cuotas sin interes.	Precio y ofertas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores marzo mayo
3223	11/3/2019	Dot	6	No encontré la indumentaria que necesitaba	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3224	11/3/2019	Cordoba	3	Por la financiación que tienen	Precio y ofertas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores marzo mayo
3225	11/3/2019	Avellaneda	1	Porque Me cobraron 100 pesos más de lo que estaba exhibido, lamentablemente me di cuenta al llegar a lo casa	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3226	11/3/2019	Rosario	5	La tienda se ve triste. Voy x los talles y precios.	Tienda	Infraestructura 	Falta de orden y limpieza en tienda	detractores marzo mayo
3227	11/3/2019	Mendoza	5	"Excesivo tiempo de espera en la fila.de pago.
Carencia de financiamiento sin interés con tarjeta Cmr.
Tampoco hay financiación sin interés con tarjetas de bancos de primer línea.
Recargo por financiar es excesivo, un promedio de 23 % en 3 cuotas!!!
No tiene sentido tener la tarjeta de la casa si.No.hay beneficio para la cartera de clientes.
Me parece que no sólo deben incentivar el consumo online, sino que aquellos que son clientes deben poder tener el mismo beneficio ( financiación) cuando uno consume en tienda."	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3228	11/3/2019	Florida 1 (Florida N°343)	0	Muy mala predisposición y mala informacion de las cajeras , la numero 11 principalmente. Fui el sab por la tarde.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores marzo mayo
3229	11/3/2019	Rosario	6	Por los precios suelen estar mal puestos. O ponen un cartel de rebajas sobre una mesa y no incluye todos los artículos de la mesa.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3230	11/3/2019	Florida 2 (Florida N°202)	3	Ya he comprado en otras oportunidades en la tienda de Florida, es muy desprolijo , todo desordenado sobretodo en el sector que compre y hay tanta ropa amontonada que no se pueden apreciar las prendas	Tienda	Infraestructura 	Falta de orden y limpieza en tienda	detractores marzo mayo
3231	11/3/2019	Cordoba	5	Si bien encontre lo que buscaba era un regalo compre varias cosas no me preguntaron si alguno era para regalo me dieron una bolsa aparte sin moño y no le sacaron el precio, la verdad que no es una tienda barata y que la presentacion del regalo para mi es muy importante.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores marzo mayo
3232	11/3/2019	Dot	6	La tienda no tenía varios productos. Estaba desordenada. No había vendedores. Los previos varían de los precios de la web. El acolchado que compre está sucio y tengo q volver	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3233	12/3/2019	Florida 1 (Florida N°343)	5	El día 08/03 volví a realizar la misma compra, ya que los productos de esa categoría seguían con 50% off anunciado con cartelería en la tienda y al pasar los mismos por la caja ya no solo no tenían el descuento si no que ningún empleado sabía si la promoción había finalizado o si podían realizar el descuento de manera manual. Por este motivo no concrete la compra.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3234	12/3/2019	Cordoba	4	Los productos que ofrecen son hermosos, como siempre. Pero esta muy caro, no se puede comprar.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3235	12/3/2019	Florida 1 (Florida N°343)	5	LOS PRECIOS SON EXCESIVOS Y NO HAY VARIEDAD DE JUGUETES PARA LAS DISTINTAS EDADES	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3236	12/3/2019	Mendoza	5	"No encontré lo que buscaba.
Precios muy elevados."	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3237	12/3/2019	Cordoba	5	Vendedores poco amables y poco atentos a los clientes	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3238	12/3/2019	Unicenter	5	Porque la única forma de pago es en una cuota, es imposible comprar sin ninguna financiación...	Precio y ofertas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores marzo mayo
3239	12/3/2019	Rosario	1	No la recomendaria debido al valor de la ropa. Los precios realmente son incomprables!!!!	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3240	12/3/2019	Tortugas	0	"Porq compre medias nike. 6 pares.
Y cometí el error de agarrar medias de mujer sin darme cuenta  cuando yo necesitaba de hombre.
Volví para cambiarlas y me dijieron que no tenían cambio."	Devoluciones	Disconformidad con Politicas Falabella	Sin cambio sobre productos de cuidado personal	detractores marzo mayo
3241	12/3/2019	Tortugas	5	Porque muy pocos productos tenian precio en la zona de bazar/baño. Tuve que ir a escanear el codigo con cada producto que queria comprar	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores marzo mayo
3242	12/3/2019	Unicenter	5	Porqué me costó encontrar lo que buscaba y no hay personal para poder hacer una consulta	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3243	12/3/2019	Mendoza	2	Pocas ofertas y mucha gente en línea de caja para pagar CMR	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3244	12/3/2019	Rosario	6	Porque estaba bastante desorganizadas las gondolas o exhibidores, tampoco había personal cerca  para consultar, a su vez cuando encontras alguno no estan al tanto de los medios de pago y promociones !!	Tienda	Infraestructura 	Falta de orden y limpieza en tienda	detractores marzo mayo
3245	12/3/2019	Mendoza	3	Porque tienen precios muy altos y nada pata clientes premium	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3246	12/3/2019	Dot	0	Por la mala atencion del personal en general, la unica persona que nos atendio bien fue el personal de seguridad en el probador.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3247	12/3/2019	Florida 1 (Florida N°343)	6	Es muy caro todo, aunque muy lindo y de excelente calidad.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3248	13/3/2019	San Juan	0	por negligencia de la Falabella no pude comprar el sommier divan el día viernes black Friday que me presente por el local, se genero la compra al otro día sin el dto CMR. Asi y todo, venía con dos almohadas prometidas y al momento de generarla cargaron sólo una sin aviso. Se termino anulando la operación y me quede sin el sommier	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3249	13/3/2019	Florida 2 (Florida N°202)	3	No siempre encuentro lo que busco	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3250	13/3/2019	Florida 2 (Florida N°202)	6	Mucha espera en caja y para obtener tarjeta CMR	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3251	13/3/2019	Rosario	5	La asistencia de vendedores es mala y las cajas son lentas. No hay ningun beneficio interesante por tener CMR y no te informan de las promociones.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3252	13/3/2019	Dot	6	La linea de cajas a veces colapsa, estaría bueno tener estaciones de autocobro.	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3253	13/3/2019	San Juan	6	porque falta personal para una atención personalizada...el dia que fui era como un supermercado tomar la prenda y llevar...	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3254	13/3/2019	Tortugas	0	Por lo sucedido en la linea de cajas y falta de vendedores	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3255	13/3/2019	Avellaneda	6	La atención del cajero no fue amable. Habiendole dicho que un acolchado que adquirí era para regalar me lo entregò sin bolsa de la tienda (esto es la primera vez que me pasa desde que la tienda abrió) y tuve que pedirle el ticket de cambio. Me parece importante aclarar que no había màs que una persona en la cola y no había gente detrás como para justificar la mala atención por el apuro.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores marzo mayo
3256	13/3/2019	Tortugas	5	Por que la cajera no saco una alarma y al salir me suena la alarma y quedar ante todos como ladrona no me interesa	Cajas	Alarma	Producto con alarma	detractores marzo mayo
3257	13/3/2019	Mendoza	5	Precios altos	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3258	13/3/2019	Dot	5	pocas opciones de calzado de adultos y niños	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3259	13/3/2019	Dot	4	Xq estaba x comprar dos deportivos al precio de uno, cuando llego a la caja me dicen que no es el precio el que vi.sino que no lo llevo y cuando vuelvo a pasar por el perchero ya me habían cambiando el cartel. Me fui super enojada. Sin ganas de volver	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3260	13/3/2019	Rosario	5	Había muchisima ropa desordenada!! Las cajas estaban muy lentas	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3261	13/3/2019	Rosario	0	Acabo de comprar un espejo que estaba exhibido con descuento salía 4999$y debajo una etiqueta 3999$ pregunte si ese era el precio a la vendedora y me dijo que si luego la cajera me lo cobro al precio 4999$ Además de un recargo de casi 900$ por comprarlo con tarjeta de crédito en .. 3 cuotas una barbaridad  el recargo encima me lo hicieron con un seguro el cual me sale 89$ más .	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3262	13/3/2019	Florida 2 (Florida N°202)	5	Por la escasa cantidad de vendedores para atender a los clientes. Debí recorrer casi todo el primer subsuelo hasta encontrar un vendedor para hacerle una pregunta. Me atendí solo.	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3263	13/3/2019	Cordoba	2	los precios relacion calidad son muy elevados	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3264	13/3/2019	Rosario	6	Las filas en las cajas son muy largas (de hecho hay cajas cerradas) y es un fastidio la espera. Me siento en el supermercado Coto. Ni ganas de comprar me dan.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3265	13/3/2019	Mendoza	5	Pocos empleados para asesorar	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3266	13/3/2019	Mendoza	5	Había poco personal atendiendo, solo 2 cajas cobrando a una fila esperando, además para entregarme un pantalón me lo enrollaron en una bolsita, un par de zapatillas para regalo, no tenían.	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3267	13/3/2019	Cordoba	6	Realice compra de campera para niña. A las 24 hs volví para cambiar el talle y me cobraron diferencia siendo que era idéntica	Devoluciones	Disconformidad con Politicas Falabella	Devoluciones	detractores marzo mayo
3268	13/3/2019	Cordoba	6	"En gral lo hubiera evaluado con 9 pero esta vez lo evalúe asi xq compre una malla cuya etiqueta decia talle 6 y cuando llego a casa era talle 4 la prenda.
Eso genera que tenga q ir nuevamente y no se si cuando voy hay xq eran ofertas"	Precio y ofertas	Precios	Producto mal etiquetado	detractores marzo mayo
3269	14/3/2019	Avellaneda	6	No hay productos de los que fui a buscar	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3270	14/3/2019	Florida 1 (Florida N°343)	4	Porque , las ofertas no tienen talles,y podrian hacer mejores promociones	Precio y ofertas	Ofertas	Faltante de ofertas atractivas	detractores marzo mayo
3271	14/3/2019	Mendoza	5	Porque los precios están excesivamente caros. Antes se encontraban cosas a precios accesible pero ahora realmente es casi imposible comprarles, lo cual me apena mucho porque yo siempre he sido clienta de ustedes y siempre creí que buscando se conseguían buenos precios, pero ahora es imposible.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3272	14/3/2019	Cordoba	6	Los cobradores en la línea de caja en muchas ocasiones hablan entre si y no dedican tiempo completo a cobrar. Muchas veces sucede que existen detrás de la línea de caja empleados que no están cobrando y distraen al los que si lo hacen.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores marzo mayo
3273	14/3/2019	Florida 1 (Florida N°343)	4	Porque las cajas tardaron mucho y la cajera tuvo pésima atención	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores marzo mayo
3274	14/3/2019	Rosario	6	.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores marzo mayo
3275	14/3/2019	Unicenter	5	dECIA UN 20 % DE DESCUENTO EN ZAPATILLAS Y LUEGO EN LA LETRA CHICA SOLO LO APLICABAN PARA LA PRIMER COMPRA, O SEA QUE COMO SOY CLIENTE DEBO PAGAR MAS.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3276	14/3/2019	Cordoba	0	primero que no realice ninguna compra en falabella segun lo que dice este mail. Y de paso no me mandaron ninguna encuesta para calificar la compra del dia 12-11-2018 la cual me entregaron el producto 3 meses despues , solo porque llame 25 veces y reclame por todas las formas posibles, porque nunca jamas nadie se contacto conmigo. Por la demora, y los problemas causados ya que abri mi consultorio y las sillas que habia comprado no las tenia, bien gracias, ni una disculpa.	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores marzo mayo
3277	14/3/2019	Mendoza	6	No hay muchas cosas en oferta y la espera en caja es muy larga	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3278	14/3/2019	Florida 1 (Florida N°343)	2	Hol, ayer compre un montón de cosas hermosas que estaban con súper descuento... uno de ellos un short de jean de bb a 299... cuando llego a casa y le muestro las prendas a mi marido y el ticket para que observe los precios vemos que el short me lo facturaron a 519! Y dice pacKs multipren v: 055964. Código 2998812978120. Mi ticket es el 3424-00122269 fecha 13.03.19 a la 15.11 pm	Cajas	Inconveniente en transacción	Error de personal	detractores marzo mayo
3279	14/3/2019	Cordoba	4	En la caja de electrodomésticos había 2 personas atendiendo. Cobrando y embolsando. Éramos 10 personas. Faltaba el aire. Hacía calor. Luego vinieron dos personas más solo para ayudar a embolsar la mercadería. Les pedimos que llamen a más gente y nos dijeron que no había más personal. Lamentable. Llegue tarde a buscar a mi hija a la escuela porque todos pensabamos que iba a venir más gente para cobrar. Era de mañana. El calor en la fila insoportable.	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3280	14/3/2019	Cordoba	6	Es lenta	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3281	15/3/2019	Unicenter	3	"Tienen poca variedad de modelos de zapatillas y no hay promociones.
Solamente comprando por internet."	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3282	15/3/2019	Unicenter	5	Es extremadamente lento el sistema de cobro y la ultima vez fui un martes a la mañana.	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3283	15/3/2019	Dot	6	Encontre menos opciones que en otras temporadas y algunas muy elevadas de precio. Igual tienen muy lindas cosas	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3284	15/3/2019	Florida 1 (Florida N°343)	5	porque me place	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores marzo mayo
3285	15/3/2019	Mendoza	5	Ya es la tercera vez que en caja me cobran todo lo que voy a comprar pero siempre hay algún artículo faltante que por descuido del cajero no lo pone en la bolsa, voy a hacer el reclamo y nunca me reconocen nada!	Cajas	Inconveniente en transacción	Error de personal	detractores marzo mayo
3286	15/3/2019	Unicenter	6	estan los talles de la ropa mezclados, y cuesta ver personal para asesorar	Tienda	Infraestructura 	Falta de orden y limpieza en tienda	detractores marzo mayo
3287	15/3/2019	Unicenter	0	falta de talles grandes, y de variedad de productos	Productos	Disponibilidad	Falta de talles	detractores marzo mayo
3288	16/3/2019	Rosario	0	El costo de la mochila tenía un descuento del 40% y no me descontaron nada tengo el ticket si desean verlo estaba el cartel y no me hicieron el descuento me fui decepcionado.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3289	16/3/2019	Tortugas	6	Porque faltaba variedad en la indumentaria deportiva.	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3290	16/3/2019	Tortugas	4	Por qué no soluciona los problemas	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores marzo mayo
3291	16/3/2019	Mendoza	2	Porque los precios son exceso caros, no encontré ninguna oferta. Y no hay promociones con ninguna tarjeta.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3292	16/3/2019	Tortugas	5	"Sistema de cajas lento
En la entrega de pedidos no habia ningun personal"	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3293	16/3/2019	Dot	3	"Quise comprar un regalo, NO tenían bolsa como para ello. Ofrecían una bolsa de plástico muy fea, cosa que hizo sumado al alto precio de lo que estaba comprando y el malo packaging termine tomando la decisión de comprar solo 1 cosa que NO era para presente, y el regalo no comprarlo en Falabella.
Otro detalle, las escaleras mecánicas estaban en reparación, o sea tuve que subirlas a pie. Me pregunte porque no las reparaban cuando la tienda esta cerrada?
La verdad que con lo difícil que esta todo, cuando uno decide comprar algo tiene que ser una experiencia mas agradable
Espero vuelvan a incorporar paquetes para regalos como tenían antes. En el barrio ya he hablado con varias personas que han dejado de comprar REGALOS en Falablella por esta razón. Sldos,"	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3294	16/3/2019	Florida 2 (Florida N°202)	5	Porque al momento de pagar mi compra no tengo ningún beneficio. Tengo la tarjeta de Falabella y  ni siquiera pude pagar mi  compra en 3 pagos sin interes xq el interes que cobran es un robo. Me conviene comprar en otras tiendas con mejor promoción.  De hecho quiero dar de baja la tarjeta a raiz de esto	CMR	Financiación	Poca cantidad de cuotas	detractores marzo mayo
3295	16/3/2019	Dot	5	Por el vendedor no me quiso atender, ni mostrar el producto. Me mandó el pedido (código de artículo para caja) por una sra de seguridad.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3296	16/3/2019	Cordoba	6	Precios mas elevados  q en otras tiendas	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3297	16/3/2019	Tortugas	2	Demora en las cajas	Cajas	Demora	Tiempo de espera en fila	detractores marzo mayo
3298	16/3/2019	Florida 1 (Florida N°343)	4	no eran claros los carteles de descuento de utiles, pense que era sobre el precio marcado ya que no era en rojo, eran las etiquetas normales, siempre he comprado y era sobre el precio marcado	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores marzo mayo
3299	16/3/2019	Tortugas	6	No hay promociones con medios de pago en cuotas fijas	Precio y ofertas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores marzo mayo
3300	16/3/2019	Unicenter	5	En realidad falabella en general me está decepcionando mal! Ya que soy titular de su tarjeta que supuestamente tiene beneficios para clientes y no tienen más descuentos y cuotas sin interés, ya no fomentan más la facilidad del consumo y no dan ganas de seguir con la tarjeta. Además de que no poseen más testera para probar maquillaje y demás productos, cosa que hace muy incómoda la visita allí.	CMR	Financiación	Poca cantidad de cuotas	detractores marzo mayo
3301	16/3/2019	Cordoba	6	Poca predisposición de algunos vendedores a la hs de las consultas tanto en calzado de mujer como en calzado deportivo. La negativa a retirar prescinto a la hora de pedir medirme zapatillas, el cual no fue retirado y tuve q medirme una sola zapatilla. Insistí con a la misma vendedora ante un compañero de ella, el cual accedio al cual explique q era mi número q quería medirme las dos sin estar atadas. Calculo q es lógica no poder medirse unas zapatillas unidas sin poder caminarlas. Termine comprando 2 pares de zapatillas me atendí sola y busqué número Sola xq conozco más o menos el funcionamiento, pero por la atención no debería hacer llevado nada.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3302	16/3/2019	Unicenter	5	No están los productos que promocionan  en la página...	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores marzo mayo
3303	16/3/2019	Unicenter	5	Precios elevados en relacion a calidad	Precio y ofertas	Precios	Insatisfacción con los precios	detractores marzo mayo
3304	16/3/2019	Cordoba	1	Una muy mala atención un desastre en todos los sentidos	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3305	17/3/2019	Rosario	6	Porque el vendedor de copas (bazar) a pesar de que le pregunté me contestó que no estaba vigente la oferta de tres por dos,es decir adquirir tres copas por el valor de dos.Saltó en la caja,donde la cajera advirtió la oferta,y pude comprar 6 copas de vino y 6 de agua con la oferta,pero perdí la oportunidad de adquirir una tercera copa de champagne (compré dos) sin cargo..Me dio la impresión de pocas ganas de vender.Yo había aprovechado la oferta a fines noviembre o principios de diciembre pasado..No es demasiado importante pero revela desinterés.Excelente la confitería del tercer piso,luminosa y acogedora.	Colaboradores	Atención	Falta amabilidad y actitud de servicio del colaborador	detractores marzo mayo
3306	17/3/2019	Unicenter	6	no habia muchas personas para consultar sobre talles y precios	Colaboradores	Atención	Falta de personal en piso	detractores marzo mayo
3307	17/3/2019	Avellaneda	5	"En las ultimas compras realizadas, las cajeras me han atendido sin ánimo, conversando con sus compañeras y posponiendo la atención de los clientes que esperan su turno en la cola.
En el sector perfumería la atención es mejor, presentan de todas formas conducta desgano."	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores marzo mayo
